일시,강원도,경기도,충청북도,충청남도,경상북도,경상남도,전라북도,전라남도,제주특별자치도
Jun-24,22.52,22.96,23.175,22.9,23.025,22.53333333333333,23.05,22.28333333333333,22.25
Jul-24,25.839999999999996,25.78,26.225,26.25,26.575,26.333333333333332,27.150000000000002,26.366666666666664,27.375
Aug-24,27.18,27.839999999999996,27.875,28.25,27.925,28.633333333333336,28.583333333333332,28.383333333333336,29.325
Sep-24,22.52,23.96,24.55,25.0,24.425,26.2,25.983333333333334,26.03333333333333,27.4
Oct-24,14.719999999999999,14.860000000000003,15.4,15.850000000000001,16.425,18.266666666666666,16.733333333333334,17.875,20.925
Nov-24,8.690000000000001,8.1,9.05,9.25,10.35,11.833333333333334,10.216666666666667,11.816666666666668,15.1
Dec-24,0.21999999999999992,-0.9199999999999999,0.725,1.55,2.775,4.2,2.533333333333333,4.325,8.375
Jan-25,-1.67,-2.34,-1.0,-0.6,0.825,2.066666666666667,0.45,2.0833333333333335,6.525
Feb-25,-1.56,-2.5,-1.35,-1.15,0.55,1.7666666666666666,-0.18333333333333335,1.4916666666666665,5.2
Mar-25,6.24,6.779999999999999,7.75,6.699999999999999,8.2,9.033333333333333,7.966666666666666,8.308333333333334,10.95
Apr-25,12.17,12.4,13.6,12.1,13.775,13.733333333333334,13.166666666666666,13.025,14.8
May-25,16.259999999999998,16.580000000000002,17.15,16.65,17.2,17.0,17.349999999999998,16.758333333333333,17.5
